Item,Descripcion,Cantidad,Unidad,Valor_Unitario,Total
1,JAMON DE CERDO,1,und,9490,9490
2,QUESO MOZZARELLA,1,und,9990,9990
3,CHAMPIÑONES,1,und,4990,4990
4,CHOCOLATE LYND,1,und,7990,7990
5,BROWNIE AREQUIPE,1,und,1990,1990
6,PLATANITOS MADURO,1,und,5490,5490
7,PONQUE BANANO,1,und,11500,11500
8,HOJUELA DE MAIZ,2,und,4990,9980
9,TOPPING MEDITERRANEO,2,und,4950,9900
10,NACHOS CRACHOS,1,und,3490,3490
11,CHIPS DE VEGETALES,4,und,2990,11960
12,BOLSA ECOLOGICA,1,und,1200,1200
13,MEZCLA CHOCODU,1,und,1950,1950
