Producto,Cantidad,Unidad,Precio
Papa sin lavar,2.0,kg,4100
Lechuga batavia,0.73,kg,4200
Mango grueso,2.11,kg,5095
Hierbas mix,2.0,und,3800
Spaguetti pan,1.0,und,6300
Aguacate hass,1.0,und,6100
Verduras mix bandeja,1.28,kg,7442
Manzana oferta bolsa,1.0,und,3550
Aguacate hass malla,1.0,und,8990
Papaya común,2.41,kg,7664
Banano común,1.03,kg,3069
Tomate chonto,1.94,kg,2425
Salsa BBQ San Jorge,1.0,und,5950
Salsa de soya San Jorge,2.0,und,4300
Crema alquería 180g,2.0,und,10500
Tortilla haz de oros,1.0,und,6650
Centro de cadera res,1.725,kg,56753
Carne res bola negra,2.245,kg,72563
Centro de cadera res,1.915,kg,63004
Bolsa supermercado,4.0,und,1000
